Id Unit,Id,Code,Name,Desctiption,Status
183926,1254,AC147.A2.3,Bukaan/bentangan geometri,,1
183928,1254,AC147.A2.3,Gambar bukaan/bentangan geometri-geometri lanjut benda kerucut/kronis,,1
183927,1254,AC147.A2.3,Gambar bukaan/bentangan geometri-geometri lanjut benda silinder/persegi panjang,,1
183922,1254,AC147.A2.3,Membaca gambar teknik,,1
183925,1254,AC147.A2.3,Menggambar 2 dimensi dengan sistem CAD,,1
183921,1254,AC147.A2.3,Menggambar dan membaca sketsa,,1
183924,1254,AC147.A2.3,Merancang gambar teknik secara rinci (dasar),,1
183914,1254,AC147.A20,Menerapkan Prosedur Mutu,,1
183915,1254,AC147.A20,Mengatur dan menganalisis informasi,,1
183917,1254,AC147.A5.1,Menerapkan prinsip-prinsip keselamatan dan kesehatan kerja dilingkungan kerja,,1
183930,1254,AC147.A5.18,"Melaksanakan fabrikasi, pembentukan, pelengkungan, dan pencetakan",,1
183929,1254,AC147.A5.18,Melakukan pemotongan secara mekanik,,1
183920,1254,AC147.A5.2,Menangani material secara manual,,1
183933,1254,AC147.A5.20,Mengelas dengan proses las busur manual,,1
183934,1254,AC147.A5.20,Mengelas dengan proses las gas (metal),,1
183935,1254,AC147.A5.20,Mengelas dengan proses las gas tungsen,,1
183932,1254,AC147.A5.20,Mengelas dengan proses las oksigen-asetilen (las karbit,,1
183936,1254,AC147.A5.23,Repair/modify aircraft composite material structure/ components,,1
183918,1254,AC147.A5.5,Mengukur dengan menggunakan alat ukur,,1
183916,1254,LOG.OO02.003.01,Melakukan pekerjaan yang membutuhkan kerjasama tim,,1
183919,1254,LOG.OO02.007.01,Melakukan perhitungan dasar,,1
183923,1254,LOG.OO0201001,Mengoperasikan Komputer,,1
183931,1254,LOG.OO05.011.01,Merakit hasil fabrikasi,,1
184400,1268,B.05PPN31.091.1,Melaksanakan Perawatan Harian Liquid Truck,,1
184401,1268,B.05PPN31.092.1,Mengoperasikan Liquid Truck,,1
184402,1268,B.05PPN31.093.1,Mengambil Cargo Liquid,,1
184403,1268,B.05PPN31.094.1,Mendistribusikan Cargo Liquid,,1
184404,1268,B.05PPN31.095.1,Menggunakan Alat Pemadam Api Ringan dan Fire Suppression,,1
184384,1267,B.05PPN31.075.1,Melaksanakan Periodical Service Genset dan Sistem Penerangan,,1
184385,1267,B.05PPN31.076.1,Melaksanakan Daily Check Unit Genset dan Sistem Penerangan,,1
